Acc_Date,Acc_No,Title,ISBN,Author_Editor,Edition_Volume,Place_Publisher,Year,Pages,Class_No,description
20-01-2017,1,Network design : management and technical perspectives,849334047,"Mann-Rubinson, Teresa C.",,"Boca Raton: CRC Press,",1999,405 p.;,004.6 MAN,"Network Design: Management and Technical Perspectives enables network management and design professionals to work together toward achieving their respective goals in the network design process. It outlines basic techniques; reviews major challenges and issues; summarizes prevailing approaches and technologies; describes the specification, design, and planning of data network topologies; and assesses specification and evaluation processes in designing and implementing data networks."
08-09-2001,2,"Multimedia information analysis and retrieval : IAPR International Workshop MINAR?98, Hong Kong, China, August 1998, proceedings",9.78354E+12,"Ip, Horace H. S.",,"Berlin: Springer,",1998,"viii, 264 p.;",004 IPH,"This book constitutes the refereed proceedings of the First IAPR International Workshop on Multimedia Information Analysis and Retrieval, MINAR'98, held in Hong Kong, China, in August 1998. The volume presents 18 revised papers carefully reviewed and selected by the program committee for inclusion in the book. Also included are two invited presentations. Among the topics covered are invariant properties, color or geometric, of images for robust image and video retrieval in compressed domain, pictorial query languages, video segmentation by content, and efficient storage organization for multimedia data."
08-09-2001,3,"Multimedia systems : delivering, generating, and interacting with multimedia",1852332484,"Morris, Tim",,"London: Springer,",2000,"xi, 191 p.;",006.7 MOR,Description Not Available
05-09-2001,4,Principles of Data Mining and Knowledge Discovery,9.78354E+12,"Zytkov, Jan. M.",,"New York: Springer-Verlag,",1999,593 p.;,006.3 ZYT,"Principles of Data Mining and Knowledge Discovery: 4th European Conference, PKDD 2000 Lyon, France, September 13–16, 2000 ProceedingsAuthor: Djamel A. Zighed, Jan Komorowski, Jan ŻytkowPublished by Springer Berlin HeidelbergISBN: 978-3-540-41066-9DOI: 10.1007/3-540-45372-5Table of Contents:Multi-relational Data Mining, Using UML for ILPAn Apriori-Based Algorithm for Mining Frequent Substructures from Graph DataBasis of a Fuzzy Knowledge Discovery SystemConfirmation Rule SetsContribution of Dataset Reduction Techniques to Tree-Simplification and Knowledge DiscoveryCombining Multiple Models with Meta Decision TreesMaterialized Data Mining ViewsApproximation of Frequency Queries by Means of Free-SetsApplication of Reinforcement Learning to Electrical Power System Closed-Loop Emergency ControlEfficient Score-Based Learning of Equivalence Classes of Bayesian NetworksQuantifying the Resilience of Inductive Classification AlgorithmsBagging and Boosting with Dynamic Integration of ClassifiersZoomed Ranking: Selection of Classification Algorithms Based on Relevant Performance InformationSome Enhancements of Decision Tree BaggingRelative Unsupervised Discretization for Association Rule MiningMining Association Rules: Deriving a Superior Algorithm by Analyzing Today’s ApproachesUnified Algorithm for Undirected Discovery of Exception RulesSampling Strategies for Targeting Rare Groups from a Bank Customer DatabaseInstance-Based Classification by Emerging PatternsContext-Based Similarity Measures for Categorical Databases"
09-08-2001,5,Focusing solutions for data mining : analytical studies and experimental results in real-world domains,3540664297,"Reinartz, Thomas",,"New York: Springer,",1999,"xiv, 307 p.;",006.3 REI,Description Not Available
08-09-2001,6,"Multimedia applications, services and techniques, ECMAST '99 : 4th European Conference, Madrid, Spain, May 26-28, 1999 : proceedings",9.78354E+12,Narciso Gacia,,"New York: Springer-Verlag,",1999,574 p.;,004 LEO,Description Not Available
08-09-2001,7,"Visual information and information systems : Third International Conference, VISUAL '99, Amsterdam, The Netherlands, June 2-4, 1999 : proceedings",9.78354E+12,"Huijsmans, Dionysius P.",,New York Springer,1999,"xviii, 827 p.",004 HUI,"This book constitutes the refereed proceedings of the Third International Conference on Visual Information Systems, VISUAL'99, held in Amsterdam, The Netherlands, in June 1999. The 100 revised papers presented were carefully reviewed and selected from numerous submissions. The book is divided into topical sections on visual information systems, interactive visual query, Internet search engines, video parsing, spatial data, visual languages, features and indexes for image retrieval, object retrieval, ranking and performance, shape retrieval, retrieval systems, image compression, virtual environments, recognition systems, and visualization systems."
09-08-2001,8,Knowledge Acquisition,3540660445,"Fensel, Dieter",,"New York: Springer-Verlag,",1999,404 p.;,006.3 FEN,Description Not Available
08-09-2001,9,Advanced Information Systems Engineering,3540661573,"Jarke, Matthias",,"New York: Springer-Verlag,",1999,478 p.;,004 JAR,Description Not Available
08-09-2001,10,Data Warehousing and Knowledge Discovery,9.78354E+12,"Mohania, Mukesh",,"New York: Springer-Verlag,",1999,400 p.;,004 MOH,Description Not Available
